Sample,Cloud,Plate,COPE5.a,COPE5.b,COPE9.a,COPE9.b,COPE10.a,COPE10.b,CPER26.a,CPER26.b,CPER52.a,CPER52.b,CPER92.a,CPER92.b,CPER99.a,CPER99.b,CPER119.a,CPER119.b,CPER188.a,CPER188.b
09COPE-0186,COPE-M-09,P2,135,247,170,170,NA,NA,150,152,280,280,293,293,166,166,164,164,287,291
09COPE-0187,COPE-M-09,P2,247,247,170,170,178,178,150,150,280,280,291,291,166,166,158,170,287,293
09COPE-0188,COPE-M-09,P2,111,235,158,170,170,182,156,156,260,338,293,297,168,168,170,170,287,287
09COPE-0189,COPE-M-09,P2,191,387,170,170,188,188,148,152,284,284,293,293,166,166,158,158,287,289
09COPE-0190,COPE-M-09,P2,299,355,170,174,NA,NA,148,150,NA,NA,291,291,166,166,162,164,287,287
09COPE-0191,COPE-M-09,P2,243,275,162,162,224,224,152,152,284,284,291,291,166,166,164,164,287,291
09COPE-0192,COPE-M-09,P2,111,115,NA,NA,NA,NA,154,154,NA,NA,285,293,164,168,144,160,287,287
09COPE-0193,COPE-M-09,P3,195,275,166,182,176,176,150,150,NA,NA,293,293,166,166,156,172,287,287
09COPE-0194,COPE-M-09,P3,323,359,170,174,228,228,150,160,280,284,293,293,166,166,156,164,287,289
09COPE-0195,COPE-M-09,P3,235,339,166,166,162,162,150,150,NA,NA,293,297,166,166,156,158,287,287
09COPE-0196,COPE-M-09,P3,139,259,174,174,180,180,150,150,NA,NA,277,291,166,166,164,166,287,287
09COPE-0197,COPE-M-09,P3,183,183,162,174,204,204,150,150,NA,NA,293,299,166,166,162,164,287,289
09COPE-0198,COPE-M-09,P3,139,139,162,170,232,232,150,152,380,380,293,293,166,166,176,176,287,287
09COPE-0199,COPE-M-09,P3,151,199,158,170,180,180,150,158,284,284,293,293,166,166,158,158,287,287
09COPE-0200,COPE-M-09,P3,263,327,162,162,170,170,150,150,246,246,NA,NA,NA,NA,NA,NA,287,287
09COPE-0201,COPE-M-09,P3,191,231,170,170,NA,NA,150,150,214,214,293,293,166,166,156,160,287,287
09COPE-0202,COPE-M-09,P3,211,219,170,174,194,194,152,152,NA,NA,291,291,166,166,168,168,287,287
09COPE-0203,COPE-M-09,P3,131,175,162,170,260,260,150,150,284,284,293,293,166,166,166,166,287,287
09COPE-0204,COPE-M-09,P3,123,155,170,182,172,172,152,160,NA,NA,293,293,166,168,154,154,287,287
09COPE-0205,COPE-M-09,P3,195,215,166,166,230,230,150,156,262,262,293,293,166,166,158,172,287,287
09COPE-0206,COPE-M-09,P3,131,199,166,190,212,212,150,150,284,284,293,293,166,166,148,148,287,291
09COPE-0207,COPE-M-09,P3,131,131,158,174,176,176,152,154,284,284,293,293,166,166,156,166,291,291
09COPE-0208,COPE-M-09,P3,103,127,174,186,NA,NA,154,154,NA,NA,287,291,164,166,186,186,287,287
09COPE-0209,COPE-M-09,P3,307,311,158,158,248,248,152,152,228,228,293,293,166,166,156,166,287,291
09COPE-0210,COPE-M-09,P3,227,227,158,170,160,160,150,152,284,284,293,293,166,166,162,170,289,291
09COPE-0211,COPE-M-09,P3,139,187,166,166,160,208,150,150,NA,NA,275,293,166,166,170,170,289,291
09COPE-0212,COPE-M-09,P3,131,131,166,170,208,208,150,154,440,440,293,293,166,166,164,166,287,289
09COPE-0213,COPE-M-09,P3,139,155,170,174,230,230,150,152,284,284,293,293,166,166,156,160,267,287
09COPE-0214,COPE-M-09,P3,139,139,170,170,NA,NA,150,158,NA,NA,293,293,166,166,162,162,283,289
09COPE-0215,COPE-M-09,P3,199,267,170,178,NA,NA,150,158,296,300,293,293,166,166,152,162,287,287
09COPE-0216,COPE-M-09,P3,NA,NA,174,174,176,284,152,156,NA,NA,293,293,166,168,160,164,287,289
09COPE-0217,COPE-M-09,P3,131,131,170,170,NA,NA,150,150,284,284,293,303,166,168,156,162,287,287
09COPE-0218,COPE-M-09,P3,143,215,162,162,NA,NA,150,150,NA,NA,293,293,166,166,166,176,287,287
09COPE-0219,COPE-M-09,P3,195,243,NA,NA,NA,NA,152,152,280,296,293,293,166,166,162,162,287,287
12COPE-0220,COPE-M-12,P3,131,207,182,182,268,268,150,158,NA,NA,293,293,166,166,156,156,287,287
12COPE-0221,COPE-M-12,P3,139,139,170,170,NA,NA,152,154,284,284,291,291,166,166,166,166,287,293
12COPE-0222,COPE-M-12,P3,135,135,170,170,186,186,150,152,NA,NA,293,293,166,166,166,172,287,287
12COPE-0223,COPE-M-12,P3,267,299,158,170,204,204,148,148,NA,NA,301,301,166,166,158,164,287,301
12COPE-0224,COPE-M-12,P3,223,223,170,174,NA,NA,150,150,352,352,291,295,166,168,164,168,287,287
12COPE-0225,COPE-M-12,P3,139,139,162,182,168,168,148,150,NA,NA,293,293,166,168,162,162,287,287
12COPE-0226,COPE-M-12,P3,235,235,170,182,216,216,150,152,260,260,293,295,166,166,158,166,287,291
12COPE-0227,COPE-M-12,P3,135,139,158,182,168,230,148,150,260,280,293,295,166,166,162,168,291,291
12COPE-0228,COPE-M-12,P3,131,263,158,158,224,260,150,150,NA,NA,293,303,166,168,154,158,287,289
12COPE-0229,COPE-M-12,P3,211,211,170,182,176,176,150,152,284,284,293,293,166,166,158,158,287,289
12COPE-0230,COPE-M-12,P3,303,303,162,182,170,256,150,150,NA,NA,291,291,166,166,158,158,287,289
12COPE-0231,COPE-M-12,P3,183,243,166,166,200,274,150,150,NA,NA,293,293,166,166,154,158,287,287
12COPE-0232,COPE-M-12,P3,155,155,166,166,NA,NA,148,152,238,238,291,291,166,166,162,174,287,287
12COPE-0233,COPE-M-12,P3,135,135,166,166,184,184,150,150,260,260,293,299,166,166,168,168,267,287
12COPE-0234,COPE-M-12,P3,207,615,170,174,168,170,150,150,NA,NA,293,293,166,166,168,178,283,287
12COPE-0235,COPE-M-12,P3,147,207,170,170,138,172,148,150,284,284,293,293,166,166,156,158,287,301
12COPE-0236,COPE-M-12,P3,303,303,170,170,172,172,150,150,NA,NA,293,293,166,166,154,158,291,291
12COPE-0237,COPE-M-12,P3,139,139,166,170,184,184,150,152,284,284,293,293,166,166,168,168,287,291
12COPE-0238,COPE-M-12,P3,243,243,162,162,212,212,150,158,282,282,293,301,166,166,158,158,287,293
12COPE-0239,COPE-M-12,P3,143,147,170,170,188,232,150,152,280,280,291,293,166,168,158,174,287,287
12COPE-0240,COPE-M-12,P3,227,227,158,174,184,184,150,150,NA,NA,293,295,166,166,156,168,287,287
12COPE-0241,COPE-M-12,P3,291,311,170,170,202,212,148,152,NA,NA,293,293,166,166,158,158,287,287
